State,County,IT_WholeRate,HighSchool_WholeRate,MedianInc_WholeAvg,republican_rate,Segregation,urban,racial_weighted_bias,hesitancy,HighSchool_Disparity,IT_Disparity,MedianInc_Disparity,CvdVax_DisparityY,vehicle,FacNumRate,CaseRate,Black_Prop,Test
California,San Francisco,91.4,88.5,112.449,1272.206162,57.53803688,1,33.98793393,7,10,14.2,112.332,11.11310761,69.4,0.020532041,4.092001692,5.560099325,1
California,San Joaquin,87,79.3,64.432,4198.333813,42.28054272,1,38.58577143,12,2.7,6.4,28.043,9.56292692,93.6,0.013645644,9.384922613,8.298519448,1
California,San Luis Obispo,91,91.3,73.518,4223.169945,48.70710113,1,38.819613,11,14.4,6.3,22.667,15.74631071,95.7,0.019073791,7.407695215,2.022528266,0
California,San Mateo,93.3,89.6,122.641,2020.038966,56.24296786,1,36.19902192,8,6.1,10,68.109,16.30225314,94.6,0.013175523,5.374700126,2.768033834,1
California,Santa Barbara,90.2,80.9,74.624,3282.073814,46.59661904,1,37.01632647,12,9.2,6.5,33.477,19.59114409,94.4,0.022620431,7.595313763,2.44054298,1
California,Santa Clara,93.7,88.4,124.055,2523.297457,42.43499423,1,37.47030099,8,4.5,4,57.247,13.97737697,94.9,0.014108967,6.078578646,2.833723751,1
California,Santa Cruz,89.4,86.3,82.234,1860.341446,53.56000972,1,31.72347037,10,9.9,4,33.9,24.06000544,94.5,0.019398784,5.715321013,1.472843532,0
California,Shasta,85,91.1,54.667,6543.487621,59.62395577,1,37.28649709,13,4.5,-5.2,14.725,4.957833457,93.2,0.034984451,6.509329187,1.24555753,0
California,Solano,92.9,88.4,81.472,3367.131287,37.22340817,1,36.71524437,11,3.1,3.3,25.998,11.80403861,94.9,0.015414069,7.154585239,14.77136915,0
California,Sonoma,91.5,88.8,81.018,2304.735845,47.6995747,1,35.4919111,10,6.5,-1.3,16.339,19.92074839,95.1,0.018813115,6.011093669,2.072274728,0
California,Stanislaus,88.7,78.9,60.704,4846.748823,40.45366026,1,38.6091584,13,-0.7,5.1,17.324,13.25975262,93.6,0.019249628,10.98917662,3.515962663,0
California,Sutter,86.4,78.2,59.05,5716.463415,29.93191258,1,40.33667345,14,-3.9,-5.8,-19.782,16.16886659,94,0.024749667,9.582246239,2.746181848,0
California,Tehama,80.2,84.5,44.514,6664.461544,63.76929185,0,36.68408617,14,10.8,-1.9,-33.178,10.61328742,92.5,0.021510663,8.343064348,1.069387253,1
California,Tulare,79.6,70.8,49.687,5283.521303,58.92105591,1,38.65019982,14,2.5,-0.2,21.678,20.12353224,93.9,0.024024282,10.59942728,2.182777593,0
California,Ventura,89.7,85,88.131,3837.42057,46.30289555,1,38.23429181,10,1.5,0.6,10.886,15.51679309,95.8,0.020803635,9.492722274,2.396318702,1
California,Yolo,90.4,86.5,70.228,2805.971377,46.69881904,1,34.75478959,11,2.2,19,43.494,13.07045135,92.5,0.019954649,6.150566893,2.976870748,1
California,Yuba,87.3,82.3,58.054,5934.13234,44.49791966,1,38.09511803,14,-0.8,-3.4,-28.537,9.397010303,92.9,0.017796309,7.766817512,4.454161794,0
Illinois,Adams,83.6,92.5,52.993,7237.844784,52.17779483,0,41.31397155,17,18.5,5.6,27.72,23.85604996,92.4,0.030564683,12.52387866,3.907694659,0
Illinois,Alexander,57.5,86.5,36.806,5689.127106,60.03188699,1,39.65959743,18,-0.2,-8.8,13.753,-2.473302618,91.1,0.052074293,8.019441069,31.76531852,0
Illinois,Boone,90.9,86.2,69.272,5563.65968,26.34336581,1,39.21193032,16,-6.3,3.1,-2.632,32.62773201,96,0.011205737,11.94344838,2.807037203,0
Illinois,Champaign,86.3,95,52.797,3723.460386,45.57015867,1,40.4723088,15,8.6,13,29.491,41.72585015,88.4,0.021460353,9.435401952,13.84383539,0
Illinois,Coles,83.7,91.4,46.202,6219.042134,44.42382065,0,40.48507521,17,12.4,9.3,17.93,28.48338601,91.8,0.023705577,10.92431995,4.03192351,0
Illinois,Cook,85.2,87.1,64.66,2409.174099,77.92835988,1,38.19355897,14,7.5,12.5,45.396,30.18063175,82.3,0.017707937,10.14618174,23.81424297,1
Illinois,DeKalb,91.9,92.3,63.317,4590.703328,56.47060578,1,41.38209742,15,1.7,-1.4,44.298,38.87012446,93.6,0.016206374,8.879186249,8.333889434,0
Illinois,DuPage,93.7,93,92.809,4000.648829,40.88810387,1,40.97766628,12,4.3,4.3,37.319,37.95625857,95.9,0.017444613,9.377509018,5.289726856,0
Illinois,Grundy,90,93.2,77.35,6198.604442,37.84296231,1,38.90057285,14,6.6,3.8,16.797,24.39912922,96.2,0.013710973,10.99228268,1.809848396,1
Illinois,Henry,82.4,91.2,59.933,5978.43076,56.66503593,1,39.41031964,17,18.1,23.7,28.824,40.22870932,94.4,0.020444463,9.64160857,1.981068428,1
Illinois,Jackson,82.3,91.9,37.241,4816.665929,41.72095208,0,39.56386869,18,1.6,-0.3,20.623,36.04857576,87.9,0.049339207,8.556828194,15.20352423,0
Illinois,Jefferson,84.9,87.4,49.896,7175.063262,68.05450909,0,40.20934495,18,13.8,-0.2,19.426,27.89906907,91.8,0.031843753,11.03386052,8.90828999,0
Illinois,Kane,90.8,84.6,79.394,4183.598478,46.57400172,1,40.26332497,14,8.7,9.5,47.684,41.45574339,95.6,0.015026211,10.45993355,5.993580051,0
Illinois,Kankakee,82.8,88.2,58.902,5724.489386,60.64803442,1,39.9069923,18,13.4,21.1,35.753,22.37868504,91.8,0.017294424,12.30907866,14.99972693,1
Illinois,Kendall,95.8,92.4,96.563,4617.576602,21.88724075,1,40.00188799,14,3.7,-2.7,10.323,25.42800775,98,0.01395457,9.572835103,7.954880223,0
Illinois,Knox,79.1,89.1,44.129,5197.126412,46.86912636,0,37.82218409,16,25.1,9.1,31.665,50.32177122,90.9,0.020121129,10.70444073,8.336183827,1
Illinois,LaSalle,87.1,88.6,58.142,5624.81321,53.21895108,0,40.53593645,17,26.8,14.3,32.716,48.03146567,93.8,0.020244964,10.84577939,2.879386025,0
Illinois,Lake,92.7,90.6,89.427,3704.822798,56.12927122,1,39.14648782,13,7.2,7.3,54.206,42.11218086,95,0.01765884,9.278500004,7.480743968,0
Illinois,Livingston,83.6,89.9,55.16,7117.537313,53.30905216,0,39.52402089,19,36.9,-1.1,38.39,43.80229589,92.8,0.016831239,12.8927289,4.266719031,0
Illinois,Macon,83,90.4,50.48,5798.632943,54.59998774,1,41.05214248,18,9,11.5,29.185,31.59694683,90.2,0.024997837,9.848186215,17.75327135,1
Illinois,Madison,88.4,92.5,60.738,5552.585647,52.1472741,1,40.53374755,16,5.8,10.6,34.721,30.80202958,93.3,0.020915251,11.35508012,8.832320528,0
Illinois,Marion,83.5,89,47.519,7266.162311,69.84922666,0,39.27251861,18,7.9,8.6,17.028,15.65512261,92.6,0.032253729,11.85055772,4.28437038,0
Illinois,Massac,74.6,86.8,47.481,7342.051131,22.44128496,0,40.24674483,18,0.5,27,2.484,-1.834200568,92.2,0.029044438,9.519314551,6.099331978,0
Illinois,McHenry,94.9,93.1,86.799,5028.855089,46.85505155,1,38.93471412,14,1.2,3.5,20.005,29.15579569,96.4,0.015595859,8.791840766,1.792873992,0
Illinois,McLean,85.9,95.9,67.675,4670.595154,39.86549574,1,39.25618159,15,4.5,12.7,40.579,31.90278107,93.6,0.01807401,9.881236262,8.396252267,0
Illinois,Morgan,81.5,90.9,51.437,6505.819276,63.2900689,0,39.6099949,18,12.9,-4,29.478,50.28268874,92.8,0.026739557,11.18307683,6.934458375,0
Illinois,Ogle,86.5,90.2,60.986,6194.197705,59.6202485,0,38.09859549,16,-5.8,-11,19.567,34.52027621,95.2,0.007898426,11.3796576,1.251900559,1
Illinois,Peoria,82.7,90.9,55.842,4567.34845,63.0598476,1,40.77512042,16,12.3,16.6,33.099,44.35098455,89.8,0.025672651,11.89815771,18.77228916,0
Illinois,Perry,81.8,83.3,52.428,7277.341029,55.72874271,0,39.93035148,18,37.2,-5.5,17.586,46.93523032,92.5,0.019124116,14.95983936,9.098297954,0
Illinois,Pulaski,61.8,88.8,34.64,6484.732824,31.51885406,0,40.39012357,18,-0.6,20,17.035,12.07543685,87.5,0.056232427,12.74601687,30.64667291,1
Illinois,Randolph,82.7,84.3,53.816,7446.551029,66.2947842,0,40.8650944,18,42.2,-6.2,26.448,44.45444015,93.9,0.018878611,12.87521238,10.60663269,0
Illinois,Rock Island,86,88.6,54.858,4291.458493,43.39505751,1,39.2311787,17,16.6,5.4,22.861,40.06998028,91.8,0.021849604,10.06279999,11.07704452,0
Illinois,Saline,77,86.7,44.09,7329.715061,40.34156643,0,39.29714454,18,3.9,0.8,26.863,24.78464765,90.8,0.042569495,10.66365842,3.831254523,0
Illinois,St. Clair,82.2,91.1,55.179,4468.22983,57.51863674,1,40.73079692,18,8.7,16.9,36.589,35.90765172,90.6,0.021179424,10.46071024,30.55382269,0
Illinois,Stephenson,84.9,92.5,48.805,5686.452609,54.57164637,0,39.43936485,16,10.6,14.7,22.929,30.77064536,90.3,0.015731044,10.17573824,10.43417682,0
Illinois,Tazewell,87.4,92.7,63.454,6169.978085,63.45304166,1,41.47342314,16,14.3,13,36.437,43.75788792,94.3,0.022002534,12.11353308,1.377813859,1
Illinois,Vermilion,81.8,88.5,46.515,6569.979395,63.42700772,1,41.81762385,19,12.2,8.7,24.279,31.38940578,89.6,0.017159904,11.97365295,13.95232187,0
Illinois,Whiteside,84.4,90.6,54.232,5313.848855,62.08347008,0,38.9161022,17,12.9,-5.6,19.503,29.86387383,94,0.021748981,12.44404169,1.817852288,0
Illinois,Will,92.8,91,86.961,4500.86468,51.86068157,1,41.46206877,15,5,4,33.597,23.04730958,96.3,0.015201023,10.41023941,12.23667848,0
Illinois,Williamson,82.3,92.3,50.734,6781.975015,45.61406751,0,39.75821042,18,-1.5,2,17.706,33.65655731,92.7,0.037539228,10.82931664,4.648858057,1
Illinois,Winnebago,87.4,87.7,54.489,4775.134558,51.84309538,1,40.02607337,17,9.3,10.1,30.095,36.04601969,91.5,0.019817958,11.0318786,13.96104356,0
Indiana,Allen,87.4,89.4,54.857,5448.698225,55.60884889,1,39.99415258,18,7.9,9.1,28.524,26.04036857,93.6,0.017664165,10.34118202,11.98263112,0
Indiana,Bartholomew,84.6,90.6,63.431,6187.872763,35.10090979,1,38.2214132,17,10.7,2.8,1.762,27.7782996,95.5,0.019097865,9.42121534,2.356199047,0
Indiana,Boone,90.7,93.7,83.077,5805.454545,44.78898206,1,38.57151018,15,5.4,-1.6,16.598,11.11015454,96,0.026531846,9.663487759,2.098963784,0
Indiana,Cass,80.3,85.4,49.415,6947.132793,73.10830634,0,39.20627056,20,17.5,10.6,4.549,26.34057844,93,0.029186235,15.08397676,2.358778423,1
Indiana,Clark,82.1,89.4,55.63,5817.968169,45.02589354,1,37.35052373,19,0.7,7.5,15.765,24.37037325,94.7,0.025358827,10.73270105,8.356578925,1
Indiana,Daviess,67.2,73.8,53.629,8014.059754,70.41176849,0,39.47904785,20,-0.1,11.4,17.842,25.91729057,83.8,0.023987287,8.677400977,2.302779527,0
Indiana,Delaware,84.1,89.7,43.512,5566.80708,54.68257409,1,39.44410406,19,2.9,10.4,19.803,26.92629985,92.5,0.033293906,9.082227187,7.248433872,0
Indiana,Elkhart,82.8,80.8,57.021,6320.151774,57.32420339,1,38.81288984,20,5.2,10.7,35.578,17.13445052,91.6,0.025201002,13.25766571,6.106881328,0
Indiana,Fayette,76.1,82.1,46.175,7650.947119,55.84662787,0,39.14144178,20,-6.1,-9.6,23.411,5.060133125,92.7,0.025971777,11.99896113,1.471734049,0
Indiana,Floyd,83.1,90.8,64.468,5603.314097,51.81678808,1,39.4382485,18,2.5,17.6,36.675,31.76578813,94.1,0.025470569,9.631695576,5.508010494,0
Indiana,Gibson,85,91.9,55.462,7312.047522,52.41770753,1,40.29622899,17,6.4,-0.3,4.81,22.62485957,95,0.026738762,12.74547669,2.72438278,0
Indiana,Grant,77,87.2,44.356,6831.847321,57.03225919,0,37.85096479,20,5.6,11.2,20.448,11.09223795,92.6,0.022807098,10.40611838,7.377335827,0
Indiana,Hamilton,96,96.8,98.173,5239.927581,32.95305101,1,40.43699855,13,0.4,0.8,24.617,20.33864065,97.8,0.021301082,10.22126499,4.536242903,0
Indiana,Hancock,89.4,92.9,74.072,6757.871676,64.18534126,1,38.91473322,19,-3.8,-7.8,-12.315,13.90695017,97,0.016630846,10.22157405,3.181608842,0
Indiana,Harrison,77.8,88.4,57.712,7199.347536,36.64653164,1,39.74739396,18,-11.7,-5.3,33.025,29.31344633,96.3,0.01480933,10.57632975,0.715784277,0
Indiana,Hendricks,92.6,94,81.933,6082.208506,45.83427758,1,40.02948003,16,2.9,2.1,31.506,19.22846687,98.1,0.018789156,9.877224607,7.82450928,1
Indiana,Howard,83,89.5,52.373,6512.92785,45.22463933,1,40.33273203,20,9.1,7,15.622,21.91537702,93.1,0.026652452,11.70769529,7.932738903,0
Indiana,Jackson,79.5,87.3,51.25,7565.755276,79.92922397,0,39.73733892,17,-3.6,-17.3,-7.888,39.94297172,94.2,0.031652009,11.15733309,1.340688657,0
Indiana,Johnson,90.1,92.1,72.44,6602.683924,54.9748589,1,38.46262403,17,-0.8,-1.3,10.283,28.34445183,96.9,0.024025239,11.09207357,2.58903564,1
Indiana,Knox,83.8,88.7,47.38,7282.554361,59.2213793,0,39.22237317,19,-6.4,-9.1,10.267,45.22079651,92.8,0.027326884,10.01803574,2.986828442,1
Indiana,Kosciusko,83.1,85.7,61.366,7408.99178,62.98793642,0,39.25322027,19,1.2,-7.5,26.342,20.68726206,93.9,0.016361257,11.49567056,1.149063633,0
Indiana,LaPorte,83.6,88.5,53.658,5263.40298,62.94922116,1,40.73703675,20,12.8,20.6,25.252,33.71203232,92,0.020930402,10.15761503,11.60272277,0
Indiana,Lake,84.6,88.7,56.128,4173.906715,73.92026344,1,40.92388643,18,4.1,13.7,31.639,16.51898519,91.6,0.023893238,10.66153374,24.41950759,0
Indiana,Madison,84.1,88.4,49.522,6030.136192,53.33722022,1,39.04998258,20,5.1,6.6,24.864,19.83331621,92.9,0.03395874,9.533916292,8.553743565,0
Indiana,Marion,82.8,86.1,48.316,3447.67778,52.27635445,1,39.51090111,19,5.4,12.7,23.583,23.35176055,90.6,0.029235462,10.01667043,29.097267,1
Indiana,Marshall,73,84.9,52.658,6950.497038,86.15876843,0,38.93634734,19,-5.4,-11.5,18.789,26.42453466,93.2,0.025941459,12.50810671,0.838773834,1
Indiana,Miami,80.2,86.1,50.657,7552.191345,49.7638426,0,39.87754066,20,11.4,6.5,28.962,24.26214326,95.5,0.01126253,10.49667755,5.070953936,0
Indiana,Monroe,88.7,92.7,49.839,3501.277028,48.06258675,1,38.41940335,17,3.3,7.5,22.259,25.09895864,92.3,0.015495415,7.726822564,3.718225977,0
Indiana,Montgomery,86.4,89.8,55.522,7360.739621,66.93327707,0,40.1639302,20,-9.1,12.7,40.632,21.93323508,95.5,0.023475403,10.9030205,1.139861234,1
Indiana,Noble,84.5,83.6,56.789,7397.081813,65.42329181,0,39.46629538,21,5.7,-16.9,29.62,28.91292353,94.6,0.018850536,11.36477882,1.16663874,0
Indiana,Porter,88.1,93.6,71.152,5208.656406,45.34061167,1,40.06648684,17,0.5,5.2,24.427,25.66119979,96.4,0.020541232,10.52591423,4.440427492,0
Indiana,Shelby,83.4,87.3,60.404,7287.279276,78.05599981,1,39.39594621,19,4.2,-17.1,2.636,22.97083148,96,0.02235686,10.71787878,1.421896309,1
Indiana,St. Joseph,82.5,88.5,52.769,4623.559595,52.69818637,1,39.6571768,19,9.1,18.9,27.463,33.02349374,92.3,0.025016003,12.56575898,13.83090654,0
Indiana,Tippecanoe,87.5,91.6,53.13,4841.243175,45.56514423,1,40.46969451,18,2.4,7.9,29.132,33.69429302,92.5,0.019414301,11.16475589,5.901436658,1
Indiana,Vanderburgh,85.3,90.1,49.708,5393.588636,52.34655362,1,38.11972406,19,6.7,7.9,24.862,33.1444135,91.8,0.028106762,12.16912555,9.851695499,0
Indiana,Vigo,85.1,88.4,45.23,5633.721998,41.41588447,1,39.56450766,20,4.8,3.8,17.342,30.1733389,91.8,0.028961677,11.41557204,7.409518115,0
Indiana,Wayne,76.9,86.5,46.516,6350.589256,44.96868908,0,37.66276257,20,-2.7,6.3,17.047,13.8566524,90.8,0.028838565,10.48205938,5.033088459,1
Maine,Androscoggin,86.7,90.2,53.509,4985.945725,59.27962982,1,34.99469199,13,32.7,-1.7,19.695,16.64825301,90.4,0.036942287,5.98465048,4.499570546,0
Maine,Cumberland,91.2,95.1,73.072,3029.370181,66.35346856,1,36.58602289,11,14.8,7.1,36.461,19.39767062,92.5,0.028813266,5.226048549,3.203696234,1
Maine,Kennebec,86.7,92.5,55.365,4832.428671,68.27414638,0,39.70800865,13,11.6,2.6,18.348,6.795785831,91.9,0.027800036,4.201076025,0.810289284,0
Maine,Knox,89.3,93.6,57.751,3879.668856,68.66404085,0,35.71750092,13,16.6,-4.3,-28.841,21.28691175,93.7,0.040229307,2.29055617,0.837272453,0
Maine,Penobscot,86.2,92,50.808,5257.189098,71.16796594,1,38.9299113,13,-3.1,2.1,11.124,7.701620432,91.7,0.062439204,3.336225254,0.981281384,0
Maine,Sagadahoc,87.8,94,63.694,4058.49559,57.41023682,1,35.48487797,11,-5.3,-6.1,3.482,12.95773018,93.8,0.019522535,3.28815261,0.923136992,0
Maine,Somerset,81.6,88.4,44.256,6036.777774,63.346959,0,35.16334013,14,5.4,-8.6,-6.642,11.26981305,91.1,0.025750733,3.349576103,0.639806671,1
Maine,York,89.7,93.2,67.83,4227.945146,67.86839728,1,35.13941746,11,-3.3,21.5,16.761,13.8092622,94.6,0.019264018,5.769091846,1.047962589,0
New Jersey,Atlantic,86.9,87,62.11,4607.51927,57.85320663,1,44.44504338,13,10.4,13.8,40.327,28.44294259,86.8,0.021617932,11.53714871,17.13543444,1
New Jersey,Bergen,93.3,92.5,101.144,4125.760649,54.9475578,1,42.84900865,9,2.5,2.6,35.871,24.64887736,91.8,0.018343664,10.58354305,7.351518233,0
New Jersey,Burlington,92.2,93.7,87.416,3954.684433,52.04971817,1,42.491292,12,2.2,1,17.745,33.36645934,95.4,0.021331585,9.640753656,18.30362255,0
New Jersey,Camden,88.2,88.7,70.451,3260.266927,56.4311666,1,42.89944033,13,4.8,8.8,36.175,32.30787956,88.6,0.024483139,10.35222155,21.62848416,1
New Jersey,Cape May,89,92.5,67.074,5750.706741,60.28141906,1,41.54471521,13,10.8,5.2,34.524,25.97687741,92.4,0.027162399,9.535088386,4.838166429,0
New Jersey,Cumberland,81.1,79.4,54.149,4642.794144,27.16625358,1,41.40941662,15,9.3,7.1,29.766,26.6623893,89.7,0.02541347,10.76594862,21.94520053,0
New Jersey,Essex,85.1,86.1,61.51,2187.471923,74.19620505,1,40.96361335,14,6.7,11.1,65.055,39.36068423,77.8,0.018899215,11.63553303,41.89880785,0
New Jersey,Gloucester,91.9,92.9,87.283,4832.508973,34.65021717,1,44.0246824,13,3.1,4.7,33.069,20.00452549,94.1,0.018173339,9.934644557,11.2475826,1
New Jersey,Hudson,88.5,84.8,71.189,2631.656953,59.53727277,1,41.7810588,12,5.7,5.2,49.735,28.09957026,67.8,0.01888782,12.76876103,14.78202415,0
New Jersey,Hunterdon,93.8,95,115.379,5125.181121,65.93495263,1,41.4882937,10,9.3,8.2,37.748,21.85801289,96.4,0.019297103,7.45189795,2.71606725,1
New Jersey,Mercer,86.6,88.5,81.057,2926.366253,54.99549126,1,41.58668475,12,11.1,14.1,52.336,28.64741929,88.9,0.022861497,8.928503388,21.48654165,1
New Jersey,Middlesex,89.1,89.8,89.533,3834.857383,38.89066206,1,43.75736813,10,0.9,2.9,13.243,25.16527215,92.4,0.018180452,10.93748106,11.95049584,1
New Jersey,Monmouth,92.2,93.4,99.733,5074.701894,57.10948627,1,42.03670838,11,7.7,8.9,53.087,23.31618195,93,0.022947826,11.8436639,7.469840577,0
New Jersey,Morris,94.4,94.5,115.527,4719.111643,44.24447827,1,43.80394413,10,4.8,8.1,40.049,20.03064796,95.3,0.019315028,9.881771696,3.827425307,0
New Jersey,Ocean,83.7,92,70.909,6377.893251,45.82037594,1,41.82072147,13,3.4,0.4,6.987,11.70666652,93.3,0.018445748,12.07290682,3.598732514,1
New Jersey,Passaic,85.8,83.7,69.688,4118.060404,60.85862669,1,42.20163808,13,6.3,12.3,49.955,31.10939514,83.5,0.019927226,13.88090693,14.91094523,0
New Jersey,Salem,86.4,88.8,66.842,5553.359684,54.54808969,1,41.74059133,15,5.6,14.2,39.933,17.47739365,92.3,0.017632444,9.03422297,14.80804681,0
New Jersey,Somerset,94.7,94.5,113.611,3876.108386,61.01973714,1,41.72142359,9,3.2,2,38.497,27.1240989,95.2,0.017328704,8.775012617,10.53706823,0
New Jersey,Sussex,93.1,94.9,94.52,5883.531166,49.46002911,1,42.46897325,11,8.1,-1.4,-16.993,23.2205677,96.5,0.019218723,9.380872388,2.657166448,0
New Jersey,Union,86.9,86.4,80.198,3165.888405,55.89830084,1,43.80487158,12,3.5,7.8,44.163,29.81369635,88.4,0.017615096,12.387187,23.75575411,1
New Jersey,Warren,90.8,91.5,81.307,5723.669048,41.57492076,1,43.34911136,12,-1.2,-0.5,-3.463,20.52163244,93.6,0.024699098,8.860326598,5.718791264,0
New York,Albany,88.3,92.1,66.252,3328.793369,60.42413389,1,41.00870578,13,12.7,7.9,43.158,21.59143673,86.3,0.020621526,7.763513646,14.10643326,0
New York,Bronx,80.6,72.8,40.088,1591.205384,46.53744464,1,38.99355346,16,7,2.4,22.582,-4.631629997,41.5,0.021082959,12.36229972,43.61535375,0
New York,Broome,86.5,90.7,52.226,4724.001812,50.97394527,1,40.7566713,15,9.5,11.6,29.064,23.5212643,87.9,0.019948763,9.163306875,6.360505649,0
New York,Cayuga,83.1,87.8,58.377,5359.408905,62.06930812,0,39.77203238,15,38.9,33.5,21.541,25.94730714,89.4,0.040482658,7.695622649,4.440033431,1
New York,Chautauqua,80.9,88.8,46.82,5890.216491,64.95668637,0,39.44605692,15,17,3.8,27.016,16.21743708,88.7,0.022064096,6.641292956,2.79347218,0
New York,Chemung,85.5,90.3,54.94,5564.383075,55.22654189,1,40.1369119,15,15.3,7,25.063,10.76571146,88.8,0.020370015,8.606930598,6.469277224,0
New York,Chenango,82.8,88.1,52.002,6052.525253,35.35539923,0,39.10008076,15,16,3.3,-18.762,11.58510639,92,0.012709979,6.575296037,1.025271676,0
New York,Clinton,84.2,87.6,56.365,4660.890181,56.82722201,0,40.43592124,17,14.3,26.9,7.811,32.05092747,90.7,0.023606883,5.669379387,4.419457042,0
New York,Columbia,84,90.3,66.787,4073.562959,57.44758311,0,39.38654067,14,11.1,19.4,32.373,21.1985302,92.8,0.020181295,6.452969173,5.316089538,0
New York,Cortland,77.7,90.7,56.023,4980.611209,45.05721031,0,38.60303831,15,5.2,-2.1,30.182,15.23336517,91.7,0.037830226,7.467266346,2.086967487,0
New York,Delaware,81.7,88.9,49.544,5831.082847,35.61725636,0,40.21107496,15,5,-7.2,18.91,20.95825766,91.7,0.015860428,4.939390506,2.172878668,0
